skill_name,source_kind,created_at,created_by,updated_at,updated_by,lifecycle,profiles,validation,notes
ci-cd-and-automation,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
cisco-ios-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
code-review-and-quality,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
code-simplification,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
codehealth-mcp,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
competitive-platform-analysis,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
competitive-report-structure,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
config-gc,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
cost-tracking,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
data-throughput-accelerator,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
debugging-and-error-recovery,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
delivery-gate,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
deprecation-and-migration,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
django-celery,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
doubt-driven-development,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
dynamic-workflow-mode,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
ecc-guide,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
ecc-recipes,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
error-handling,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
fastapi-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
flox-environments,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
frontend-a11y,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
frontend-design-direction,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
frontend-ui-engineering,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
fsharp-testing,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
gateguard,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
generating-python-installer,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
gget,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
growth-log,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
hermes-imports,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
homelab-network-readiness,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
homelab-network-setup,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
homelab-pihole-dns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
homelab-vlan-segmentation,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
homelab-wireguard-vpn,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
incremental-implementation,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
inherit-legacy-style,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
intent-driven-development,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
interview-me,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
ios-icon-gen,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
ito-basket-compare,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
ito-data-atlas-agent,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
ito-market-intelligence,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
ito-trade-planner,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
knowledge-diagram-image,local,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,global-all,Test-AgentSet passed,知識解説の一枚図解画像用
knowledge-explainer,local,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,global-all,Test-AgentSet and split workflow tests passed,画像・HTMLおよび構造→style順次適用の司令塔
knowledge-explainer-html,local,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,global-all,Test-AgentSet and structure-only test passed,知識HTMLの情報構造・interaction専用
knowledge-html-style,local,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,global-all,Test-AgentSet and accepted-artifact regression passed,高contrast・高密度・空間効率review-table style専用
kubernetes-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
latency-critical-systems,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
literature-review,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
loop-design-check,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
mailtrap-email-integration,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
make-interfaces-feel-better,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
marketing-campaign,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
ml-adoption-playbook,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
mle-workflow,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
motion-advanced,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
motion-foundations,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
motion-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
motion-ui,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
mysql-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
netmiko-ssh-automation,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
network-bgp-diagnostics,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
network-config-validation,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
network-interface-health,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
observability-and-instrumentation,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
orch-add-feature,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
orch-build-mvp,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
orch-change-feature,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
orch-fix-defect,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
orch-pipeline,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
orch-refine-code,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
parallel-execution-optimizer,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
performance-optimization,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
plan-canvas,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
plan-orchestrate,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
prediction-market-oracle-research,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
prediction-market-risk-review,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
prisma-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
production-audit,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
pubmed-database,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
quarkus-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
quarkus-security,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
quarkus-tdd,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
react-native-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
react-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
react-performance,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
react-testing,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
recsys-pipeline-architect,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
