"No","スキル名","タスクの分類","重要度（pj-generalでの推定）","タスク難易度（pj-generalでの推定）","使用頻度（pj-generalでの推定）","行数","主対象言語・技術","残す判断","旧残す判断","判断理由","最新技術依存","最新性メモ","改善優先度","高品質化状態","優先度理由","高品質化コメント"
"26","claude-api","言語・フレームワーク別実装","低","高","低","336","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","未着手","横断skillだがA/B条件外",""
"27","claude-devfleet","エージェント運用・評価","低","高","低","102","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"28","clickhouse-io","データ・DB・AI基盤","中","高","中","438","ClickHouse/SQL","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","未着手","横断skillだがA/B条件外",""
"29","click-path-audit","フロントエンド・UI検証","中","中","中","243","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"30","codebase-onboarding","リポジトリ調査・ファイル操作","高","中","高","66","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","B","完了","重要度高かつ使用頻度または難易度が高","AGENTS/PROJECT等のauthorityを先に読み、代表flow・ownership・検証commandを根拠付きで把握する手順へ変更。"
"31","code-tour","リポジトリ調査・ファイル操作","中","中","中","235","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"32","coding-standards","リポジトリ調査・ファイル操作","高","中","高","112","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","B","完了","重要度高かつ使用頻度または難易度が高","framework固有例をreferencesへ分離し、PJ規約優先・最小変更・risk-based review/verificationの横断floorへ縮小。"
"33","compose-multiplatform-patterns","フロントエンド・UI検証","低","中","低","298","Kotlin/Android","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","D","未着手","言語・framework専用のため後順位",""
"34","configure-ecc","運用・外部連携","低","中","低","366","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","未着手","横断skillだがA/B条件外",""
"35","connections-optimizer","ウェブ検索・外部調査","低","中","低","188","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"36","content-engine","コンテンツ・発信","低","低","低","130","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"37","content-hash-cache-pattern","データ・DB・AI基盤","中","高","中","160","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"38","context-budget","コスト・コンテキスト管理","高","中","中","86","Context/token","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","完了","横断skillだがA/B条件外","loaded/discoverable/on-demandを分けてcontextを実測し、母集団を削除せずprofileで可逆最適化する手順へ変更。"
"39","continuous-agent-loop","エージェント運用・評価","低","高","低","44","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"40","continuous-learning","エージェント運用・評価","低","高","低","122","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"41","continuous-learning-v2","エージェント運用・評価","低","高","低","363","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"42","cost-aware-llm-pipeline","API・バックエンド実装","高","高","中","182","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","B","未着手","重要度高かつ使用頻度または難易度が高",""
"43","council","作業チャンク化・計画","低","中","低","202","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"44","cpp-coding-standards","言語・フレームワーク別実装","低","高","低","722","C++","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"45","cpp-testing","テスト・検証","低","中","低","323","C++","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"46","crosspost","コンテンツ・発信","低","中","低","110","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"47","csharp-testing","テスト・検証","低","中","低","320","C#/.NET","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"48","customer-billing-ops","業務ドメイン知識","低","中","低","139","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"49","customs-trade-compliance","業務ドメイン知識","低","中","低","255","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"50","dart-flutter-patterns","言語・フレームワーク別実装","低","高","低","562","Dart/Flutter","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"51","dashboard-builder","フロントエンド・UI検証","中","中","中","106","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"52","database-migrations","データ・DB・AI基盤","高","高","中","71","SQL/ORM","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","B","完了","重要度高かつ使用頻度または難易度が高","430行を70行へ分割し、PostgreSQL lock/rewrite、runner transaction mode、expand-backfill-validate-contract、recovery/production gateを明確化。"
"53","data-scraper-agent","ウェブ検索・外部調査","中","中","中","763","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"54","deep-research","ウェブ検索・外部調査","高","中","中","154","Web research","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"55","defi-amm-security","セキュリティ・安全性","低","高","低","158","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"56","deployment-patterns","運用・外部連携","高","中","中","426","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","未着手","横断skillだがA/B条件外",""
"57","design-system","フロントエンド・UI検証","中","中","中","81","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"58","django-patterns","言語・フレームワーク別実装","低","高","低","733","Python/Django","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"59","django-security","セキュリティ・安全性","低","高","低","592","Python/Django","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"60","django-tdd","テスト・検証","低","中","低","728","Python/Django","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"61","django-verification","テスト・検証","低","中","低","469","Python/Django","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","部分改善","言語・framework専用のため後順位","検証中のnpm audit fix自動実行を除去し、read-only auditと承認付きdependency remediationへ分離。mutable GitHub Actions例はD優先度backlog。"
"62","dmux-workflows","エージェント運用・評価","低","高","低","190","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"63","docker-patterns","運用・外部連携","高","中","中","363","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","未着手","横断skillだがA/B条件外",""
"64","docs-state-sync","作業チャンク化・計画","高","高","高","29","言語非依存/docs運用","残す","新規追加","Codex / pj-general級の不足領域を補うv1追加skill。母集団として保持し、PJ profileで採択する。","低","PJ固有の正本配置へ適応する運用skill","A","完了","使用頻度高×難易度高の横断skill","PJ正本とuser判断・user作業・実装task・完了・handoffの保存先と同期タイミングを分離。"
"65","documentation-lookup","リポジトリ調査・ファイル操作","高","低","高","52","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","B","完了","重要度高かつ使用頻度または難易度が高","対象確定後の現行一次資料確認に限定し、利用可能toolを能力検出してversion付き根拠を返す手順へ変更。"
"66","dotnet-patterns","言語・フレームワーク別実装","低","高","低","320","C#/.NET","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"67","e2e-testing","テスト・検証","高","中","高","325","Playwright/E2E","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","B","未着手","重要度高かつ使用頻度または難易度が高",""
"68","ecc-tools-cost-audit","コスト・コンテキスト管理","低","中","低","159","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"69","email-ops","運用・外部連携","低","中","低","120","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"70","energy-procurement","業務ドメイン知識","低","中","低","220","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"71","enterprise-agent-ops","エージェント運用・評価","低","高","低","49","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"72","eval-harness","エージェント運用・評価","中","高","中","268","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"73","evm-token-decimals","セキュリティ・安全性","低","高","低","128","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"74","exa-search","ウェブ検索・外部調査","高","中","中","102","Exa/Web search","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"75","expand-answer","プロンプト・LLM最適化","中","低","中","16","言語非依存/対話","残す","新規追加","Codex / pj-general級の不足領域を補うv1追加skill。母集団として保持し、PJ profileで採択する。","低","モデル非依存の回答展開手順","C","完了","横断skillだがA/B条件外","旧custom promptをCodex skill化し、主張・根拠・不確実性・追加観点を段階的に展開する出力契約へ変更。"
"76","fal-ai-media","コンテンツ・発信","低","中","低","283","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"77","finance-billing-ops","業務ドメイン知識","低","中","低","126","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"78","flutter-dart-code-review","テスト・検証","低","中","低","434","Dart/Flutter","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"79","foundation-models-on-device","言語・フレームワーク別実装","低","高","低","243","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"80","frontend-design","フロントエンド・UI検証","高","中","高","144","Frontend","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","B","未着手","重要度高かつ使用頻度または難易度が高",""
"81","frontend-patterns","フロントエンド・UI検証","高","中","高","76","Frontend/React系","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","完了","言語・framework専用のため後順位","Next/Reactのserver-client境界、state ownership、UI状態、accessibility、performanceを中心にし、候補stackを条件付きreference化。"
