plugin,plugin_version,skill_name,source_repository,source_commit,license,adoption_status,verified_at,verification_evidence,notes
base44,1.0.3-beta.1,base44-troubleshooter,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
boltz-api-cli,0.1.1,boltz-check-status,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
boltz-api-cli,0.1.1,boltz-cli-setup,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
boltz-api-cli,0.1.1,boltz-protein-design,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
boltz-api-cli,0.1.1,boltz-protein-screen,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
boltz-api-cli,0.1.1,boltz-small-molecule-adme,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
boltz-api-cli,0.1.1,boltz-small-molecule-design,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
boltz-api-cli,0.1.1,boltz-small-molecule-screen,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
boltz-api-cli,0.1.1,boltz-structure-and-binding,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
box,0.0.3,box-content-api,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,deferred_until_needed,2026-07-17,Review recommendation plus pinned plugin manifest; explicit connected-app need required,具体需要とconnector利用の明示依頼が出るまで未導入を維持
brighthire,0.1.1,brighthire,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-ios-apps,0.1.2,ios-app-intents,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-ios-apps,0.1.2,ios-debugger-agent,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-ios-apps,0.1.2,ios-ettrace-performance,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-ios-apps,0.1.2,ios-memgraph-leaks,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-ios-apps,0.1.2,ios-simulator-browser,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-ios-apps,0.1.2,swiftui-liquid-glass,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-ios-apps,0.1.2,swiftui-performance-audit,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-ios-apps,0.1.2,swiftui-ui-patterns,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-ios-apps,0.1.2,swiftui-view-refactor,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,appkit-interop,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,build-run-debug,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,liquid-glass,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,packaging-notarization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,signing-entitlements,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,swiftpm-macos,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,swiftui-patterns,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,telemetry,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,test-triage,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,view-refactor,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-macos-apps,0.1.4,window-management,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-apps,0.1.2,frontend-app-builder,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-apps,0.1.2,frontend-testing-debugging,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-apps,0.1.2,react-best-practices,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-apps,0.1.2,shadcn,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-apps,0.1.2,stripe-best-practices,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-apps,0.1.2,supabase-postgres-best-practices,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,accessibility-and-inclusive-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,canvas2d-data-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,d3-data-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,dashboards-and-real-time-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,data-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,gantt-chart-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,geospatial-and-cartographic-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,grammar-of-graphics-and-declarative-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,node-link-and-diagram-layout,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,react-and-nextjs-data-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,reports-pdfs-and-slide-automation,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,scrollytelling-and-parallax-data-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,statistical-and-uncertainty-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,testing-data-visualizations,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,threejs-data-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,typescript-data-visualization-engineering,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,uml-and-software-architecture-visualization,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
build-web-data-visualization,0.1.21,visualization-strategy-and-critique,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
canva,1.0.2,canva-branded-presentation,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
canva,1.0.2,canva-resize-for-all-social-media,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
canva,1.0.2,canva-translate-design,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
catalyst-by-zoho,1.0.1,catalyst-by-zoho,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
chronograph-gp,1.0.0,chronograph-portfolio-company-one-pager,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
chronograph-lp,1.0.3,chronograph-cashflow-forecast,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
chronograph-lp,1.0.3,chronograph-gp-meeting-prep,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
chronograph-lp,1.0.3,chronograph-portfolio-company-one-pager,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
circleci,1.0.4,chunk,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
circleci,1.0.4,circleci-builds,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
circleci,1.0.4,circleci-cli,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
circleci,1.0.4,circleci-config,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
cloudflare,0.1.2,agents-sdk,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,installed_plugin,2026-07-17,Codex plugin cache discovery plus pinned upstream manifest and license,本文を複製せず導入済みpluginから利用
cloudflare,0.1.2,building-ai-agent-on-cloudflare,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,installed_plugin,2026-07-17,Codex plugin cache manifest and discovered skill,本文は正本へ複製せず導入済pluginから利用
cloudflare,0.1.2,building-mcp-server-on-cloudflare,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,installed_plugin,2026-07-17,Codex plugin cache manifest and discovered skill,本文は正本へ複製せず導入済pluginから利用
cloudflare,0.1.2,cloudflare,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,installed_plugin,2026-07-17,Codex plugin cache manifest and discovered skill,本文は正本へ複製せず導入済pluginから利用
cloudflare,0.1.2,durable-objects,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,installed_plugin,2026-07-17,Codex plugin cache manifest and discovered skill,本文は正本へ複製せず導入済pluginから利用
cloudflare,0.1.2,sandbox-sdk,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,installed_plugin,2026-07-17,Codex plugin cache manifest and discovered skill,本文は正本へ複製せず導入済pluginから利用
cloudflare,0.1.2,web-perf,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,installed_plugin,2026-07-17,Codex plugin cache manifest and discovered skill,本文は正本へ複製せず導入済pluginから利用
cloudflare,0.1.2,workers-best-practices,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,installed_plugin,2026-07-17,Codex plugin cache manifest and discovered skill,本文は正本へ複製せず導入済pluginから利用
cloudflare,0.1.2,wrangler,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,installed_plugin,2026-07-17,Codex plugin cache manifest and discovered skill,本文は正本へ複製せず導入済pluginから利用
coderabbit,1.1.4,code-review,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
daloopa,1.0.3,build-model,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,Apache-2.0,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
daloopa,1.0.3,bull-bear,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,Apache-2.0,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
daloopa,1.0.3,capital-allocation,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,Apache-2.0,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
daloopa,1.0.3,comp-sheet,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,Apache-2.0,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
daloopa,1.0.3,comps,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,Apache-2.0,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
